第一申请人城市_原值,第一申请人城市标准化,省级地区,城市映射状态,专利数
克孜勒苏,克孜勒苏,新疆,城市映射成功,1
河池,河池,广西,城市映射成功,1
儋州市,儋州,海南,城市映射成功,1
三门峡,三门峡,河南,城市映射成功,1
中卫,中卫,宁夏,城市映射成功,1
防城港市,防城港,广西,城市映射成功,1
阳泉市,阳泉,山西,城市映射成功,1
阿克苏,阿克苏,新疆,城市映射成功,1
,,罗马尼亚,境外申请人,1
天水,天水,甘肃,城市映射成功,1
池州,池州,安徽,城市映射成功,1
毕节,毕节,贵州,城市映射成功,1
桃园市,桃园,台湾,城市映射成功,1
大兴安岭,大兴安岭,黑龙江,城市映射成功,1
图木舒克,图木舒克,新疆,城市映射成功,1
嘉峪关市,嘉峪关,甘肃,城市映射成功,1
商洛,商洛,陕西,城市映射成功,1
南充市,南充,四川,城市映射成功,1
凉山,凉山,四川,城市映射成功,1
甘孜,甘孜,四川,城市映射成功,1
北海,北海,广西,城市映射成功,1
伊春,伊春,黑龙江,城市映射成功,1
哈密市,哈密,新疆,城市映射成功,1
吴忠,吴忠,宁夏,城市映射成功,1
兴安,兴安,内蒙古,城市映射成功,1
牡丹江,牡丹江,黑龙江,城市映射成功,1
曲靖,曲靖,云南,城市映射成功,1
景德镇市,景德镇,江西,城市映射成功,1
景德镇,景德镇,江西,城市映射成功,1
普洱,普洱,云南,城市映射成功,1
新竹市,新竹,台湾,城市映射成功,1
晋城,晋城,山西,城市映射成功,1
新竹县,新竹县,台湾,城市映射成功,1
文昌市,文昌,海南,城市映射成功,1
神农架,神农架,湖北,城市映射成功,1
抚顺,抚顺,辽宁,城市映射成功,1
石嘴山市,石嘴山,宁夏,城市映射成功,1
白城市,白城,吉林,城市映射成功,1
白沙黎族自治县,白沙黎族自治县,海南,城市映射成功,1
白山市,白山,吉林,城市映射成功,1
白山,白山,吉林,城市映射成功,1
益阳,益阳,湖南,城市映射成功,1
乐山,乐山,四川,城市映射成功,1
玉溪,玉溪,云南,城市映射成功,1
