第一申请人,申请人省市代码,first_year,last_year,quantum_patent_count,quantum_score_sum,quantum_score_mean,main_categories,chain_positions,matched_terms,high_related_count,medium_related_count,low_related_count,timefreq_candidate_count,main_chain_position,main_quantum_category,firm_relevance
北京国科量子共创通信科技研究院有限公司,北京; 11,2022,2022,1,10,10.0,量子通信与安全,量子通信与安全,QKD；量子密钥；量子密钥分发；量子通信,1,0,0,0,量子通信与安全,量子通信与安全,较高相关企业
北京大学,北京; 11,2019,2023,39,314,8.051282051282051,量子传感；量子基础概念；量子计算；量子计算硬件；量子通信与安全,其他量子相关/待复核；量子传感器/精密测量；量子计算硬件/量子芯片；量子计算系统；量子计量/时间频率/PNT候选；量子软件/算法/模拟；量子通信与安全,entanglement；laser；qubit；superposition；光量子比特；光量子计算；光钟；单光子探测器；原子干涉；原子干涉仪；原子钟；原子钟频率；叠加态；拓扑量子比特；激光器；离子阱；稀释制冷机；超导量子比特；量子信息；量子密钥；量子密钥分发；量子态；量子模拟；量子模拟器；量子比特；量子测量；量子算法；量子线路；量子芯片；量子计算；量子计算机；量子通信；量子门；铯原子钟；铷原子钟；频率基准；频率标准,15,6,1,17,量子计量/时间频率/PNT候选,量子传感,核心量子企业
北京天融信网络安全技术有限公司,北京; 11,2019,2021,2,10,5.0,量子传感；量子通信与安全,其他量子相关/待复核；量子通信与安全,量子信息；量子密钥,0,2,0,0,量子通信与安全,量子通信与安全,较高相关企业
北京安御道合科技有限公司,北京; 11,2019,2019,1,10,10.0,量子通信与安全,量子通信与安全,量子密钥；量子网络,1,0,0,0,量子通信与安全,量子通信与安全,较高相关企业
北京小米移动软件有限公司,北京; 11,2021,2021,1,3,3.0,量子传感,量子计量/时间频率/PNT候选,时间频率传输,0,0,0,1,量子计量/时间频率/PNT候选,量子传感,候选/待复核企业
北京工业大学,北京; 11,2020,2021,2,10,5.0,量子计算；量子通信与安全,量子计算系统；量子通信与安全,量子计算；量子通信,0,2,0,0,量子通信与安全,量子通信与安全,较高相关企业
北京师范大学,北京; 11,2022,2022,1,5,5.0,量子通信与安全,量子通信与安全,量子通信,0,1,0,0,量子通信与安全,量子通信与安全,候选/待复核企业
北京无线电测量研究所,北京; 11,2021,2021,1,5,5.0,量子通信与安全,量子通信与安全,量子网络,0,1,0,0,量子通信与安全,量子通信与安全,候选/待复核企业
北京无线电计量测试研究所,北京; 11,2019,2022,36,117,3.25,量子传感；量子基础概念；量子计算硬件,其他量子相关/待复核；量子传感器/精密测量；量子计算硬件/量子芯片；量子计量/时间频率/PNT候选,光钟；冷原子钟；原子钟；原子钟频率；原子频标；叠加态；囚禁离子；时间频率传递；时间频率比对；氢原子钟；离子阱；量子精密测量；铯原子钟；频率基准；频率驾驭,0,4,1,31,量子计量/时间频率/PNT候选,量子传感,核心量子企业
北京昌恒皮具制作有限公司,北京; 11,2019,2019,1,5,5.0,量子计算,量子计算系统,量子芯片,0,1,0,0,量子计算系统,量子计算,候选/待复核企业
