第一申请人,year,quantum_patent_count,quantum_score_sum,quantum_score_mean,main_categories,chain_positions,matched_terms,high_related_count,medium_related_count,low_related_count,timefreq_candidate_count
中国科学院上海天文台,2021,1,3,3.0,量子传感,量子计量/时间频率/PNT候选,频率标准,0,0,0,1
中国科学院上海天文台,2022,2,6,3.0,量子传感,量子计量/时间频率/PNT候选,原子钟；原子频标；氢原子钟,0,0,0,2
中国科学院上海微系统与信息技术研究所,2020,1,8,8.0,量子通信与安全,量子通信与安全,单光子探测器；量子通信,0,1,0,0
中国科学院上海微系统与信息技术研究所,2021,7,51,7.285714285714286,量子传感；量子计算；量子通信与安全,上游材料与核心部件；量子传感器/精密测量；量子计算系统；量子通信与安全,NV色心；单光子探测器；超导量子比特；量子信息；量子比特；量子电路；量子网络,1,6,0,0
中国科学院上海微系统与信息技术研究所,2022,3,17,5.666666666666667,量子计算,量子计算系统,entanglement；量子比特；量子纠缠；量子芯片,1,1,1,0
中国科学院上海技术物理研究所,2019,1,5,5.0,量子通信与安全,量子通信与安全,量子通信,0,1,0,0
中国科学院上海技术物理研究所,2021,1,5,5.0,量子通信与安全,量子通信与安全,量子通信,0,1,0,0
中国科学院信息工程研究所,2019,3,15,5.0,量子计算；量子通信与安全,量子计算系统；量子通信与安全,后量子密码；量子密钥；量子计算,0,3,0,0
中国科学院信息工程研究所,2021,1,5,5.0,量子通信与安全,量子通信与安全,后量子密码,0,1,0,0
中国科学院化学研究所,2019,2,11,5.5,量子计算硬件,量子计算硬件/量子芯片,laser；激光器；离子阱,0,2,0,0
中国科学院化学研究所,2020,1,5,5.0,量子传感,其他量子相关/待复核,量子信息,0,1,0,0
中国科学院化学研究所,2021,1,5,5.0,量子计算硬件,量子计算硬件/量子芯片,离子阱,0,1,0,0
中国科学院半导体研究所,2019,7,41,5.857142857142857,量子基础概念；量子计算硬件；量子通信与安全,其他量子相关/待复核；量子计算硬件/量子芯片；量子通信与安全,离子阱；量子密钥；量子密钥分发；量子态,2,3,2,0
中国科学院半导体研究所,2020,3,19,6.333333333333333,量子通信与安全,量子通信与安全,量子密钥；量子密钥分发；量子态,1,2,0,0
中国科学院合肥物质科学研究院,2020,1,5,5.0,量子计算硬件,量子计算硬件/量子芯片,离子阱,0,1,0,0
中国科学院国家天文台,2019,1,3,3.0,量子传感,量子计量/时间频率/PNT候选,原子钟；原子钟时间同步,0,0,0,1
中国科学院国家天文台,2020,2,6,3.0,量子传感,量子计量/时间频率/PNT候选,原子钟；频率标准,0,0,0,2
中国科学院国家天文台,2023,1,3,3.0,量子传感,量子计量/时间频率/PNT候选,原子钟,0,0,0,1
中国科学院国家天文台长春人造卫星观测站,2019,1,3,3.0,量子传感,量子计量/时间频率/PNT候选,频率标准,0,0,0,1
中国科学院国家授时中心,2019,8,28,3.5,量子传感,量子传感器/精密测量；量子计量/时间频率/PNT候选,光纤频率传递；原子钟；氢原子钟；磁光阱；铯原子钟,0,2,0,6
中国科学院国家授时中心,2020,8,34,4.25,量子传感,上游材料与核心部件；量子传感器/精密测量；量子计量/时间频率/PNT候选,entanglement；laser；光纤频率传递；单光子探测器；原子钟；时间频率传递；激光器；量子技术；量子测量；频率基准,0,2,0,6
中国科学院国家授时中心,2021,19,62,3.263157894736842,量子传感,量子传感器/精密测量；量子计量/时间频率/PNT候选,MOT；光学频率传递；光钟；原子钟；原子钟频率；时间频率传递；氢原子钟；铷原子钟；频率驾驭,0,1,0,18
中国科学院国家授时中心,2022,12,39,3.25,量子传感,量子传感器/精密测量；量子计量/时间频率/PNT候选,laser；光学频率传递；原子钟；原子钟频率；磁光阱；铯原子钟,0,1,0,11
中国科学院国家授时中心,2023,2,6,3.0,量子传感,量子计量/时间频率/PNT候选,原子钟,0,0,0,2
中国科学院国家空间科学中心,2019,1,3,3.0,量子传感,量子计量/时间频率/PNT候选,频率基准,0,0,0,1
中国科学院地质与地球物理研究所,2019,1,5,5.0,量子传感,量子传感器/精密测量,NV色心,0,1,0,0
中国科学院地质与地球物理研究所,2020,2,8,4.0,量子传感；量子计算硬件,量子计算硬件/量子芯片；量子计量/时间频率/PNT候选,原子钟；离子阱,0,1,0,1
中国科学院地质与地球物理研究所,2021,1,3,3.0,量子传感,量子计量/时间频率/PNT候选,原子钟,0,0,0,1
中国科学院大学,2020,1,5,5.0,量子传感,量子传感器/精密测量,MOT,0,1,0,0
中国科学院大学,2021,1,14,14.0,量子传感,量子传感器/精密测量,laser；囚禁离子；磁光阱；离子阱；超高真空,1,0,0,0
中国科学院大连化学物理研究所,2019,2,10,5.0,量子计算硬件,量子计算硬件/量子芯片,离子阱,0,2,0,0
中国科学院大连化学物理研究所,2020,1,5,5.0,量子计算硬件,量子计算硬件/量子芯片,离子阱,0,1,0,0
中国科学院宁波材料技术与工程研究所,2021,1,3,3.0,量子计算,量子计算系统,量子线路,0,0,1,0
中国科学院微小卫星创新研究院,2020,5,19,3.8,量子传感；量子通信与安全,量子计量/时间频率/PNT候选；量子通信与安全,entanglement；原子钟；量子通信；频率基准,0,1,0,4
中国科学院微小卫星创新研究院,2021,2,6,3.0,量子传感,量子计量/时间频率/PNT候选,原子钟,0,0,0,2
