第一申请人,第一申请人地区,第一申请人城市,year,quantum_patent_count,quantum_score_sum,quantum_score_mean,main_categories,chain_positions,matched_terms,high_related_count,medium_related_count,low_related_count,timefreq_candidate_count,first_applicant_types
国网江苏省电力公司,中国,南京市,2022,1,5,5.0,量子计算,量子计算系统,量子门,0,1,0,0,企业
国网江苏省电力有限公司南京供电分公司,中国,南京市,2021,1,5,5.0,量子计算,量子计算系统,量子比特,0,1,0,0,企业
国网江苏省电力有限公司泰州供电分公司,中国,泰州市,2022,1,3,3.0,量子传感,量子计量/时间频率/PNT候选,频率基准,0,0,0,1,企业
国网江苏省电力有限公司苏州供电分公司,中国,苏州,2025,1,5,5.0,量子计算,量子计算系统,量子计算；量子计算机,0,1,0,0,企业
国网江西省电力有限公司信息通信分公司,中国,南昌市,2023,1,4,4.0,量子基础概念,其他量子相关/待复核,量子态,0,0,1,0,企业
国网江西省电力有限公司南昌供电分公司,中国,南昌,2024,1,4,4.0,量子基础概念,其他量子相关/待复核,量子态,0,0,1,0,企业
国网江西省电力有限公司电力科学研究院,中国,南昌,2025,1,15,15.0,量子通信与安全,量子通信与安全,抗量子密码；量子安全通信；量子密钥,1,0,0,0,企业
国网河北省电力有限公司电力科学研究院,中国,石家庄市,2023,1,5,5.0,量子通信与安全,量子通信与安全,量子网络,0,1,0,0,企业
国网河南省电力公司信息通信公司,中国,郑州市,2022,1,5,5.0,量子计算,量子计算系统,量子计算,0,1,0,0,企业
国网河南省电力公司焦作供电公司,中国,焦作市,2022,1,3,3.0,量子传感,量子计量/时间频率/PNT候选,原子钟；铷原子钟,0,0,0,1,企业
国网浙江杭州市萧山区供电有限公司,中国,杭州,2024,1,5,5.0,量子通信与安全,量子通信与安全,量子密钥,0,1,0,0,企业
国网浙江省电力有限公司余姚市供电公司,中国,宁波,2025,1,29,29.0,量子通信与安全,量子通信与安全,量子密钥；量子态；量子比特；量子测量；量子纠缠；量子纠错；量子门,1,0,0,0,"企业,企业,企业"
国网浙江省电力有限公司信息通信分公司,中国,杭州,2024,3,35,11.666666666666666,量子通信与安全,量子通信与安全,量子密钥；量子密钥分发；量子态；量子机器学习；量子比特；量子电路；量子通信,2,1,0,0,"企业；企业,学校"
国网浙江省电力有限公司宁波供电公司,中国,宁波,2024,1,5,5.0,量子通信与安全,量子通信与安全,量子密钥,0,1,0,0,企业
国网浙江省电力有限公司宁波供电公司,中国,宁波,2025,1,3,3.0,量子传感,量子计量/时间频率/PNT候选,频率标准,0,0,0,1,企业
国网浙江省电力有限公司宁波供电公司,中国,宁波市,2023,1,5,5.0,量子通信与安全,量子通信与安全,量子密钥；量子密钥分发,0,1,0,0,企业
国网浙江省电力有限公司杭州供电公司,中国,杭州,2024,1,5,5.0,量子通信与安全,量子通信与安全,量子密钥,0,1,0,0,企业
国网浙江省电力有限公司杭州供电公司,中国,杭州市,2021,2,10,5.0,量子通信与安全,量子通信与安全,量子密钥,0,2,0,0,企业
国网浙江省电力有限公司杭州供电公司,中国,杭州市,2022,1,5,5.0,量子通信与安全,量子通信与安全,量子密钥,0,1,0,0,企业
国网浙江省电力有限公司杭州供电公司,中国,杭州市,2023,1,5,5.0,量子通信与安全,量子通信与安全,量子密钥,0,1,0,0,企业
国网浙江省电力有限公司桐乡市供电公司,中国,嘉兴,2024,1,5,5.0,量子通信与安全,量子通信与安全,量子保密通信,0,1,0,0,企业
国网浙江省电力有限公司泰顺县供电公司,中国,温州,2024,2,26,13.0,量子通信与安全,量子通信与安全,保真度；量子态；量子测量；量子网络；量子通信,1,1,0,0,企业
国网浙江省电力有限公司电力科学研究院,中国,杭州,2025,2,29,14.5,量子通信与安全,量子通信与安全,量子密钥；量子密钥分发；量子态；量子比特；量子计算；量子通信,2,0,0,0,企业
国网浙江省电力有限公司绍兴供电公司,中国,绍兴,2024,2,15,7.5,量子通信与安全,量子通信与安全,量子密钥；量子通信,1,1,0,0,企业
国网浙江省电力有限公司绍兴供电公司,中国,绍兴市,2022,2,10,5.0,量子通信与安全,量子通信与安全,量子密钥,0,2,0,0,企业
国网浙江省电力有限公司绍兴市上虞区供电公司,中国,绍兴市,2023,1,5,5.0,量子通信与安全,量子通信与安全,量子密钥；量子密钥分发,0,1,0,0,企业
国网浙江省电力有限公司营销服务中心,中国,杭州,2024,1,4,4.0,量子基础概念,其他量子相关/待复核,量子态,0,0,1,0,企业
国网浙江省电力有限公司象山县供电公司,中国,宁波,2024,1,3,3.0,量子传感,量子计量/时间频率/PNT候选,频率标准,0,0,0,1,企业
国网浙江省电力有限公司金华供电公司,中国,金华,2024,1,10,10.0,量子通信与安全,量子通信与安全,量子密钥；量子比特,1,0,0,0,企业
国网浙江省电力有限公司金华供电公司,中国,金华,2025,1,5,5.0,量子通信与安全,量子通信与安全,QKD；量子密钥,0,1,0,0,企业
国网浙江省电力有限公司金华供电公司,中国,金华市,2022,4,25,6.25,量子通信与安全,量子通信与安全,量子保密通信；量子密钥；量子密钥分发；量子网络,1,3,0,0,企业
国网湖北省电力有限公司,中国,武汉,2024,1,3,3.0,量子传感,量子计量/时间频率/PNT候选,频率基准,0,0,0,1,企业
国网湖北省电力有限公司电力科学研究院,中国,武汉市,2021,2,6,3.0,量子传感,量子计量/时间频率/PNT候选,原子钟；铷原子钟,0,0,0,2,企业
国网湖北省电力有限公司经济技术研究院,中国,武汉,2025,1,9,9.0,量子计算,量子计算系统,量子态；量子计算,1,0,0,0,企业
国网湖南省电力有限公司,中国,长沙,2025,2,6,3.0,量子传感,量子计量/时间频率/PNT候选,原子钟；频率基准,0,0,0,2,"企业,企业,企业"
国网湖南省电力有限公司电力科学研究院,中国,长沙,2025,1,3,3.0,量子传感,量子计量/时间频率/PNT候选,频率标准,0,0,0,1,"企业,企业,企业,企业"
国网甘肃省电力公司信息通信公司,中国,兰州市,2022,2,23,11.5,量子基础概念；量子通信与安全,其他量子相关/待复核；量子通信与安全,QKD；量子信息；量子密钥；量子态；量子纠缠；量子网络,1,0,1,0,企业
国网电力信息通信有限公司,中国,北京市,2023,2,16,8.0,量子通信与安全,量子通信与安全,QKD；单光子探测器；量子密钥；量子密钥分发,2,0,0,0,企业
国网电子商务有限公司,中国,北京市,2022,1,5,5.0,量子通信与安全,量子通信与安全,量子密钥,0,1,0,0,企业
国网福建省电力有限公司,中国,福州,2025,1,5,5.0,量子计算,量子计算系统,量子比特,0,1,0,0,企业
国网福建省电力有限公司,中国,福州市,2021,1,5,5.0,量子通信与安全,量子通信与安全,QKD；量子密钥；量子密钥分发,0,1,0,0,企业
国网福建省电力有限公司,中国,福州市,2022,1,5,5.0,量子通信与安全,量子通信与安全,QKD；量子密钥；量子密钥分发,0,1,0,0,企业
国网福建省电力有限公司,中国,福州市,2023,1,5,5.0,量子通信与安全,量子通信与安全,QKD；量子密钥,0,1,0,0,企业
国网福建省电力有限公司信息通信分公司,中国,福州市,2023,3,25,8.333333333333334,量子通信与安全,量子通信与安全,QKD；量子保密通信；量子密钥；量子密钥分发；量子测量,2,1,0,0,企业
国网福建省电力有限公司莆田供电公司,中国,莆田,2025,1,5,5.0,量子通信与安全,量子通信与安全,量子密钥,0,1,0,0,"企业,企业"
国网福建省电力有限公司营销服务中心,中国,福州,2025,1,5,5.0,量子传感,量子传感器/精密测量,量子测量,0,1,0,0,"企业,企业,企业"
国网经济技术研究院有限公司,中国,北京,2025,1,5,5.0,量子计算,量子计算系统,量子比特,0,1,0,0,企业
国网辽宁省电力有限公司,中国,沈阳市,2023,1,5,5.0,量子计算,量子计算系统,量子比特,0,1,0,0,企业
国网辽宁省电力有限公司丹东供电公司,中国,丹东,2024,1,5,5.0,量子计算,量子计算系统,量子比特,0,1,0,0,企业
国网辽宁省电力有限公司大连供电公司,中国,大连,2024,1,3,3.0,量子传感,量子计量/时间频率/PNT候选,频率基准,0,0,0,1,"企业,学校"
国网青海省电力公司清洁能源发展研究院,中国,西宁,2024,1,3,3.0,量子传感,量子计量/时间频率/PNT候选,频率基准,0,0,0,1,企业
国腾(广州)量子计算科技有限公司,中国,广州,2025,3,15,5.0,量子计算,量子计算系统,量子计算,0,3,0,0,企业
国腾(广州)量子计算科技有限公司,中国,广州市,2022,1,8,8.0,量子通信与安全,量子通信与安全,QKD；单光子探测器,0,1,0,0,企业
国际商业机器公司,美国,,2024,15,97,6.466666666666667,量子传感；量子计算,其他量子相关/待复核；量子计算系统,低温恒温器；量子优化；量子信息；量子处理器；量子态；量子电路；量子计算；量子计算机；量子门,4,11,0,0,企业
