第一申请人,主体类型,省级地区,第一申请人城市标准化,year,biomanufacturing_patent_count,biomanufacturing_score_sum,biomanufacturing_score_mean,main_categories,main_sub_categories,report_tech_routes,firm_main_category,firm_main_sub_category,firm_main_report_tech_route,type_review_count
上海凯赛生物技术股份有限公司,企业,上海,上海,2021,11,38,3.4545454545454546,生物过程与规模化；产品与应用,发酵工程；高值活性分子；平台化合物,生物过程与规模化；生物制造产品与应用,生物过程与规模化,发酵工程,生物过程与规模化,0
上海凯赛生物技术股份有限公司,企业,上海,上海,2022,17,61,3.588235294117647,产品与应用；生物过程与规模化；原料与低碳路线,平台化合物；发酵工程；氨基酸与有机酸发酵产品；下游分离纯化；非粮生物质；高值活性分子,生物制造产品与应用；生物过程与规模化；原料与低碳路线,生物过程与规模化,发酵工程,生物过程与规模化,0
上海凯赛生物技术股份有限公司,企业,上海,上海,2023,25,80,3.2,产品与应用；生物过程与规模化；酶与蛋白质工程,氨基酸与有机酸发酵产品；高值活性分子；发酵工程；定向进化；平台化合物,生物制造产品与应用；生物过程与规模化；酶与蛋白质工程,产品与应用,发酵工程,生物制造产品与应用,0
上海凯赛生物技术股份有限公司,企业,上海,上海,2024,15,46,3.066666666666667,产品与应用；生物过程与规模化,平台化合物；发酵工程；下游分离纯化；氨基酸与有机酸发酵产品；工艺放大与中试,生物制造产品与应用；生物过程与规模化,生物过程与规模化,发酵工程,生物过程与规模化,0
上海凯赛生物技术股份有限公司,企业,上海,上海,2025,7,24,3.4285714285714284,生物过程与规模化；产品与应用；代谢工程与细胞工厂,发酵工程；高值活性分子；表达系统；平台化合物,生物过程与规模化；生物制造产品与应用；细胞工厂与菌株工程,产品与应用,发酵工程,生物制造产品与应用,0
上海创净生物环保科技有限公司,企业,上海,上海,2021,1,4,4.0,生物过程与规模化,发酵工程,生物过程与规模化,生物过程与规模化,发酵工程,生物过程与规模化,0
上海创净生物环保科技有限公司,企业,上海,上海,2023,1,4,4.0,生物过程与规模化,发酵工程,生物过程与规模化,生物过程与规模化,发酵工程,生物过程与规模化,0
上海力山生物医药有限公司,企业,上海,上海,2025,1,4,4.0,计算设计与AI,多组学与系统建模,生物设计、读写与自动化工具,计算设计与AI,多组学与系统建模,生物设计、读写与自动化工具,0
上海力沃生物科技有限公司,企业,上海,上海,2021,1,1,1.0,产品与应用,重组药物与生物活性原料,生物制造产品与应用,产品与应用,重组药物与生物活性原料,生物制造产品与应用,0
上海加新生物科技有限公司,企业,上海,上海,2022,3,8,2.6666666666666665,生物过程与规模化；产品与应用,发酵工程；过程控制与优化；氨基酸与有机酸发酵产品,生物过程与规模化；生物制造产品与应用,生物过程与规模化,发酵工程,生物过程与规模化,0
上海化工研究院有限公司,企业,上海,上海,2022,1,1,1.0,产品与应用,重组药物与生物活性原料,生物制造产品与应用,产品与应用,重组药物与生物活性原料,生物制造产品与应用,0
上海匠造食品有限公司,企业,上海,上海,2025,1,3,3.0,生物过程与规模化,生物反应器,生物过程与规模化,生物过程与规模化,生物反应器,生物过程与规模化,0
上海医药工业研究院,科研院所,上海,上海,2021,10,28,2.8,生物过程与规模化；产品与应用,过程控制与优化；氨基酸与有机酸发酵产品；发酵工程；高值活性分子；生物反应器；下游分离纯化,生物过程与规模化；生物制造产品与应用,生物过程与规模化,高值活性分子,生物过程与规模化,0
上海医药工业研究院,科研院所,上海,上海,2022,7,21,3.0,酶与蛋白质工程；产品与应用；生物过程与规模化,生物催化；高值活性分子；发酵工程；生物反应器,酶与蛋白质工程；生物制造产品与应用；生物过程与规模化,产品与应用,高值活性分子,生物制造产品与应用,0
上海医药工业研究院,科研院所,上海,上海,2023,4,12,3.0,产品与应用；生物过程与规模化,高值活性分子；发酵工程,生物制造产品与应用；生物过程与规模化,产品与应用,高值活性分子,生物制造产品与应用,0
上海医药工业研究院,科研院所,上海,上海,2024,2,8,4.0,代谢工程与细胞工厂；酶与蛋白质工程,代谢工程；生物催化,细胞工厂与菌株工程；酶与蛋白质工程,代谢工程与细胞工厂,代谢工程,细胞工厂与菌株工程,0
上海医药工业研究院有限公司,企业,上海,上海,2025,1,4,4.0,酶与蛋白质工程,生物催化,酶与蛋白质工程,酶与蛋白质工程,生物催化,酶与蛋白质工程,0
上海医药集团生物治疗技术有限公司,企业,上海,上海,2024,1,2,2.0,产品与应用,高值活性分子,生物制造产品与应用,产品与应用,高值活性分子,生物制造产品与应用,0
上海升华医药科技有限公司,企业,上海,上海,2024,1,4,4.0,酶与蛋白质工程,生物催化,酶与蛋白质工程,酶与蛋白质工程,生物催化,酶与蛋白质工程,0
上海华颜医药科技有限公司,企业,上海,上海,2021,1,4,4.0,生物过程与规模化,发酵工程,生物过程与规模化,生物过程与规模化,发酵工程,生物过程与规模化,0
上海华颜医药科技有限公司,企业,上海,上海,2025,1,3,3.0,生物过程与规模化,下游分离纯化,生物过程与规模化,生物过程与规模化,下游分离纯化,生物过程与规模化,0
上海卓冶机电科技有限公司,企业,上海,上海,2025,1,2,2.0,产品与应用,可降解聚合物,生物制造产品与应用,产品与应用,可降解聚合物,生物制造产品与应用,0
上海南方模式生物科技股份有限公司,企业,上海,上海,2022,3,12,4.0,DNA/RNA读写编辑,基因与基因组编辑,生物设计、读写与自动化工具,DNA/RNA读写编辑,基因与基因组编辑,生物设计、读写与自动化工具,0
上海南方模式生物科技股份有限公司,企业,上海,上海,2023,1,2,2.0,产品与应用,高值活性分子,生物制造产品与应用,产品与应用,高值活性分子,生物制造产品与应用,0
上海南方模式生物科技股份有限公司,企业,上海,上海,2024,1,4,4.0,DNA/RNA读写编辑,基因与基因组编辑,生物设计、读写与自动化工具,DNA/RNA读写编辑,基因与基因组编辑,生物设计、读写与自动化工具,0
上海博唯生物科技有限公司,企业,上海,上海,2023,1,3,3.0,生物过程与规模化,下游分离纯化,生物过程与规模化,生物过程与规模化,下游分离纯化,生物过程与规模化,0
上海博满生物科技有限公司,企业,上海,上海,2024,1,4,4.0,DNA/RNA读写编辑,基因与基因组编辑,生物设计、读写与自动化工具,DNA/RNA读写编辑,基因与基因组编辑,生物设计、读写与自动化工具,0
上海博物馆,机关团体,上海,上海,2021,1,1,1.0,产品与应用,氨基酸与有机酸发酵产品,生物制造产品与应用,产品与应用,氨基酸与有机酸发酵产品,生物制造产品与应用,0
上海博瑞思环境科技有限公司,企业,上海,上海,2024,1,2,2.0,产品与应用,生物能源与燃料,生物制造产品与应用,产品与应用,生物能源与燃料,生物制造产品与应用,0
上海即索实业有限公司,企业,上海,上海,2024,1,1,1.0,产品与应用,氨基酸与有机酸发酵产品,生物制造产品与应用,产品与应用,氨基酸与有机酸发酵产品,生物制造产品与应用,0
上海原天生物科技有限公司,企业,上海,上海,2024,1,2,2.0,产品与应用,高值活性分子,生物制造产品与应用,产品与应用,高值活性分子,生物制造产品与应用,0
上海原本生物科技有限公司,企业,上海,上海,2024,1,1,1.0,产品与应用,氨基酸与有机酸发酵产品,生物制造产品与应用,产品与应用,氨基酸与有机酸发酵产品,生物制造产品与应用,0
上海友仁生物科技有限公司,企业,上海,上海,2023,1,1,1.0,产品与应用,重组药物与生物活性原料,生物制造产品与应用,产品与应用,重组药物与生物活性原料,生物制造产品与应用,0
上海友仁生物科技有限公司,企业,上海,上海,2025,1,1,1.0,产品与应用,氨基酸与有机酸发酵产品,生物制造产品与应用,产品与应用,氨基酸与有机酸发酵产品,生物制造产品与应用,0
上海双骏环保科技有限公司,企业,上海,上海,2023,1,3,3.0,生物过程与规模化,生物反应器,生物过程与规模化,生物过程与规模化,生物反应器,生物过程与规模化,0
上海合全药物研发有限公司,企业,上海,上海,2022,1,4,4.0,酶与蛋白质工程,生物催化,酶与蛋白质工程,酶与蛋白质工程,生物催化,酶与蛋白质工程,0
上海合全药物研发有限公司,企业,上海,上海,2023,1,4,4.0,酶与蛋白质工程,生物催化,酶与蛋白质工程,酶与蛋白质工程,生物催化,酶与蛋白质工程,0
上海合庆火龙果科技开发有限公司,企业,上海,上海,2023,1,3,3.0,生物过程与规模化,下游分离纯化,生物过程与规模化,生物过程与规模化,下游分离纯化,生物过程与规模化,0
上海合庆火龙果科技开发有限公司,企业,上海,上海,2024,1,4,4.0,生物过程与规模化,发酵工程,生物过程与规模化,生物过程与规模化,发酵工程,生物过程与规模化,0
上海合庆火龙果科技开发有限公司,企业,上海,上海,2025,1,1,1.0,产品与应用,氨基酸与有机酸发酵产品,生物制造产品与应用,产品与应用,氨基酸与有机酸发酵产品,生物制造产品与应用,0
上海吉态来生物技术有限公司,企业,上海,上海,2021,1,4,4.0,生物过程与规模化,发酵工程,生物过程与规模化,生物过程与规模化,发酵工程,生物过程与规模化,0
上海咏科生物科技有限公司,企业,上海,上海,2023,1,2,2.0,产品与应用,高值活性分子,生物制造产品与应用,产品与应用,高值活性分子,生物制造产品与应用,0
上海唐科新型包装材料有限公司,企业,上海,上海,2021,1,2,2.0,产品与应用,可降解聚合物,生物制造产品与应用,产品与应用,可降解聚合物,生物制造产品与应用,0
上海商学院,高校,上海,上海,2022,1,4,4.0,生物过程与规模化,发酵工程,生物过程与规模化,生物过程与规模化,发酵工程,生物过程与规模化,0
上海商学院,高校,上海,上海,2023,1,1,1.0,产品与应用,氨基酸与有机酸发酵产品,生物制造产品与应用,产品与应用,氨基酸与有机酸发酵产品,生物制造产品与应用,0
上海商学院,高校,上海,上海,2024,1,3,3.0,生物过程与规模化,过程控制与优化,生物过程与规模化,生物过程与规模化,过程控制与优化,生物过程与规模化,0
上海善普生物科技有限公司,企业,上海,上海,2025,1,3,3.0,生物过程与规模化,生物反应器,生物过程与规模化,生物过程与规模化,生物反应器,生物过程与规模化,0
上海园林工程设计有限公司,企业,上海,上海,2025,1,4,4.0,生物过程与规模化,发酵工程,生物过程与规模化,生物过程与规模化,发酵工程,生物过程与规模化,0
