第一申请人,主体类型,省级地区,第一申请人城市标准化,year,quantum_patent_count,quantum_score_sum,quantum_score_mean,main_categories,main_quantum_category,type_review_count
国科量子通信网络有限公司,企业,上海,上海,2023,14,114,8.142857142857142,量子通信与安全,量子通信与安全,0
国科量子通信网络有限公司,企业,上海,上海,2024,5,43,8.6,量子通信与安全,量子通信与安全,0
国科量子通信网络有限公司,企业,上海,上海,2025,13,115,8.846153846153847,量子通信与安全,量子通信与安全,0
国网上海市电力公司,企业,上海,上海,2024,1,5,5.0,量子通信与安全,量子通信与安全,0
国网上海市电力公司,企业,上海,上海,2025,1,3,3.0,量子传感,量子传感,0
国网上海能源互联网研究院有限公司,企业,上海,上海,2024,1,5,5.0,量子通信与安全,量子通信与安全,0
复旦大学,高校,上海,上海,2021,2,11,5.5,量子计算硬件；量子传感,量子计算硬件,0
复旦大学,高校,上海,上海,2022,2,8,4.0,量子传感,量子传感,0
复旦大学,高校,上海,上海,2023,3,23,7.666666666666667,量子传感,量子传感,0
复旦大学,高校,上海,上海,2024,1,6,6.0,量子计算,量子计算,0
复旦大学,高校,上海,上海,2025,11,82,7.454545454545454,量子传感；量子计算硬件；量子通信与安全；量子计算,量子传感,0
建信金融科技有限责任公司,企业,上海,上海,2023,3,13,4.333333333333333,量子计算；量子通信与安全,量子计算,0
建信金融科技有限责任公司,企业,上海,上海,2024,2,17,8.5,量子计算,量子计算,0
建信金融科技有限责任公司,企业,上海,上海,2025,1,5,5.0,量子计算,量子计算,0
日晷科技(上海)有限公司,企业,上海,上海,2024,2,10,5.0,量子通信与安全,量子通信与安全,0
智车优行科技(上海)有限公司,企业,上海,上海,2021,1,5,5.0,量子传感,量子传感,0
爱晋仕(上海)信息科技有限公司,企业,上海,上海,2025,1,3,3.0,量子传感,量子传感,0
田禾信息科技(上海)有限公司,企业,上海,上海,2024,1,3,3.0,量子传感,量子传感,0
银联商务股份有限公司,企业,上海,上海,2021,1,5,5.0,量子计算,量子计算,0
卡姆鲁普股份有限公司,企业,丹麦,,2024,3,15,5.0,量子计算,量子计算,0
三峡新能源云南师宗发电有限公司,企业,云南,曲靖,2025,1,14,14.0,量子传感,量子传感,0
三峡金沙江云川水电开发有限公司,企业,云南,昆明,2025,1,6,6.0,量子传感,量子传感,0
